probe_name,visual_area,presentation_type,interval_start,interval_end,max_phi,max_phi_state,total_distinctions,total_integrated_information_distinctions,total_cause_information,total_effect_information,total_relations,total_integrated_information_relations,faces_1_9,faces_10_30,faces_30_plus
probe_773463015,VISam,natural_move_one,101,150,4.618722409098339,"[1, 1, 0]",7,2.1651789027605,6.4172808109564805,5.909401371916702,30,2.453543506337939,26,4,0
probe_773463015,VISam,natural_move_one,151,200,4.293802380543587,"[1, 1, 1]",7,2.079442246222,5.799552006147211,6.184535047988753,30,2.2143601343215815,27,3,0
probe_773463015,VISam,natural_move_three,1,50,4.423872329174611,"[1, 0, 1]",7,2.1210609142568995,5.382010490913052,4.209842075581986,49,2.3028114149177497,33,10,6
probe_773463015,VISam,natural_move_three,51,100,4.751323012726619,"[1, 1, 0]",7,2.1558980516125006,5.192551071004797,5.253259798476272,35,2.5954249611141873,19,10,6
probe_773463015,VISam,natural_move_three,101,150,4.429804216581353,"[1, 0, 1]",7,2.1201243040312003,5.833777106235662,6.795396549975391,47,2.309679912550049,32,12,3
probe_773463015,VISam,natural_move_three,151,200,4.690576493816839,"[1, 0, 0]",7,2.1655797291256,6.099209186650864,5.986490393231516,47,2.5249967646912492,27,13,7
probe_773463015,VISam,flashes,1,50,4.364469727883789,"[1, 1, 1]",7,1.7247012148217002,4.55962136917892,4.4163712380308855,47,2.6397685130621262,27,13,7
probe_773463015,VISam,flashes,51,100,3.805286273234593,"[0, 0, 0]",7,1.6329302894185,4.337048961273335,4.776790905496261,47,2.172355983816205,32,12,3
probe_773463015,VISam,flashes,101,150,3.726600701154246,"[0, 0, 0]",7,1.6650159388458001,4.3214005745473525,4.373768606963945,55,2.0615847623084136,37,12,6
probe_773463015,VISam,flashes,151,200,3.7870445279592575,"[0, 0, 0]",7,1.6916569480409003,4.377246355156105,4.668593430385756,39,2.0953875799183423,21,12,6
probe_773463015,VISam,static_gratings,1,50,3.5376410841085937,"[0, 1, 0]",7,1.6839928934064998,4.407637780740854,3.982231507986693,51,1.8536481907020443,35,10,6
probe_773463015,VISam,static_gratings,51,100,3.7024316584397936,"[0, 0, 0]",7,1.7513864915755,4.146676497180408,4.596635458012312,37,1.9510451668642854,21,10,6
probe_773463015,VISam,static_gratings,101,150,3.5796947184011456,"[0, 0, 0]",7,1.7314808436005,4.319294458008682,3.8022005630836633,55,1.8482138748005887,45,10,0
probe_773463015,VISam,static_gratings,151,200,3.531287768811705,"[0, 0, 0]",7,1.7296403314222002,4.5330435570802825,4.2112346186166585,40,1.8016474373894917,22,12,6
probe_773463015,VISam,gabors,1,50,3.6216218845087957,"[1, 1, 1]",7,1.7742601142799002,4.362294559519259,3.5398921363766247,39,1.8473617702290064,34,5,0
probe_773463015,VISam,gabors,51,100,3.7727223083530896,"[1, 0, 0]",7,1.8166422265918,4.987444624165773,5.140390301272986,42,1.956080081761384,29,11,2
probe_773463015,VISam,gabors,101,150,3.814030911794826,"[0, 1, 1]",7,1.830902840773,5.038364824928457,5.055698144165882,45,1.9831280710218266,41,4,0
probe_773463015,VISam,gabors,151,200,3.909248579496382,"[0, 1, 0]",7,1.8537785048617998,4.4981752629309435,4.8887354099149665,51,2.055470074634458,35,10,6
